#separator:tab
#html:false
two-point             n.二点[网络]二点交叉；两点侦测；两点法	two-point         n.二点[网络]二点交叉；两点侦测；两点法                                two-point
catchment   /ˈkætʃmənt; ˈketʃmənt/          n.流域；集水名词 100%	catchment  /ˈkætʃmənt; ˈketʃmənt/       n.流域；集水名词 100%                                catchment
nanometer   /ˈnænoʊmiːtər/          n.[计量] 纳米（即十亿分之一米）纳米 100%	nanometer  /ˈnænoʊmiːtər/       n.[计量] 纳米（即十亿分之一米）纳米 100%                                nanometer
Sikh   /siːk/          n.锡克教教徒adj.锡克教的；锡克教信徒的；似锡克教信徒的	"Sikh  /siːk/       n.锡克教教徒adj.锡克教的；锡克教信徒的；似锡克教信徒的                 印度宗教之一, 教徒主要位于印度旁遮普邦, 来自印度语 sikh, 学徒, 学生.      noun [ C ]uk/siːk/ us/siːk/   a member of the religion that developed in the 15th century, based on belief in a single god and on the teachings of Guru Nanak锡克教信徒（锡克教在15世纪由印度教发展而来，信奉一神论和祖师（古鲁）那纳克的教义）ExamplesShe married a Sikh.We visited a Sikh temple.       If you're a Sikh, you're a member of the religion known as Sikhism. Most Sikhs live in India.There are about 27 million Sikhs throughout the world. Sikhs believe in a single god and follow the teachings of several gurus — and most Sikhs consider themselves to be members of a distinct ethnic group. Adult Sikhs typically keep their hair uncut and covered by a turban. Female Sikhs have the middle or last name Kaur, ""princess,"" and males have Singh, or ""lion."" In Hindi, sikh simply means ""believer.""Sikh: Sikhs   Sikh"
single-sex   /ˈsɪŋɡl seks/          adj.单性别的；男女分开的单性别的 100%	single-sex  /ˈsɪŋɡl seks/       adj.单性别的；男女分开的单性别的 100%                       adjective [ before noun ]uk/ˌsɪŋ.ɡəlˈseks/ us/ˌsɪŋ.ɡəlˈseks/   for either girls or boys, but not both（学校）单性别的 I went to a single-sex school.我上了一所男子（或女子）学校。          single-sex
sinuous   /ˈsɪnjuəs/          adj.蜿蜒的；弯曲的；迂回的蜿蜒的 78%，弯弯曲曲的 11%，乖僻的 11%	"sinuous  /ˈsɪnjuəs/       adj.蜿蜒的；弯曲的；迂回的蜿蜒的 78%，弯弯曲曲的 11%，乖僻的 11%           Be careful walking down the sinuous staircase.走下蜿蜒楼梯时要小心。      →记1: sinuous→sinu(=cuve 曲线, 弯曲)+ous→弯曲的 →参考: insinuate(v. 含沙射影地说) 来自拉丁语 sinus, 弯, 曲, 转, -ous, 形容词后缀.蜿蜒的(sinu+ous)[Sinu=bend,表示""弯曲""]【记】sinu弯曲，ous多－弯曲多的－蜿蜒的 【参】insinuate（v.含沙射影地说）说弯曲的话 【反】direct（adj.径直的；直接的）      adjectiveuk/ˈsɪn.ju.əs/ us/ˈsɪn.ju.əs/ literary  moving in a twisting, curving, or indirect way, or having many curves蜿蜒的，弯曲的 He enjoyed watching the sinuous bodies of the dancers.他喜欢观赏舞者婀娜的身段。 The hikers followed the sinuous path through the trees.徒步旅行者沿着蜿蜒的小径穿越丛林。       Sinuous means winding or curvy. If you get lost on a sinuous mountain path, you'll need a compass or a GPS to figure out which direction leads back to camp.The adjective sinuous comes from the Latin word sinus, which means to curve or bend. If you have a sinuous body, then you have lots of curves. Snakes use sinuous movements to travel. Live Oak trees have particularly sinuous branches. We usually use sinuous to talk about physical shapes of bodies or pathways, but you could also describe someone's logic as sinuous if it wanders all over the place when they're trying to explain something.sinuous: sinuosity, sinuously, sinuousness/sinuosity: sinuosities    sinuous"
showrunner             [网络]剧集运作人；执行制片人；剧集总监	showrunner         [网络]剧集运作人；执行制片人；剧集总监                                showrunner
apocryphal   /əˈpɑːkrɪf(ə)l/          adj.伪的；可疑的伪的 72%，不足凭信的 28%	"apocryphal  /əˈpɑːkrɪf(ə)l/       adj.伪的；可疑的伪的 72%，不足凭信的 28%           Some people believe in the story of Adam and Eve, but most people think it's apocryphal.有些人相信亚当和夏娃的故事，但大多数人认为它是天书。      前缀 apo-, 从, 从...离开. 词根 cryph, 隐藏, 同 crypt, 地窖. 指从隐蔽处来, 不可信.伪经的;假冒的(apocrypha+al)[crypt=secret,hidden,表示""秘密,隐藏""]【类】apocryphal:authentic  假冒的不是可信的 【反】authenticated（adj.经鉴定的）      adjectiveuk/əˈpɒk.rɪ.fəl/ us/əˈpɑː.krə.fəl/ formal  An apocryphal story is probably not true although it is often told and believed by some people to have happened.（一些广为流传的故事）可疑的，不足为信的，杜撰的 an apocryphal story杜撰的故事 It's a good story but I dare say it's apocryphal.故事不错，但很可能是杜撰的。       Urban legends — stories about phantom hitchhikers, deep-fried rats, and spider eggs in bubblegum — are classic examples of apocryphal tales. They're told as if they're true, but no one can ever verify their origins or authenticity.Today, any dubious or unverifiable story may be dismissed as apocryphal. Originally, however, apocryphal was reserved for religious writings that were not included in the Torah or the New Testament of the Bible because the divinity of the texts was not certain. These texts are known as the Apocrypha and are included in the Septuagint (a Greek version of the Hebrew Bible) and the Vulgate (a Latin Bible edited in the 4th century).apocryphal: apocryphally   apocryphal"
maniacal   /məˈnaɪəkl/          adj.疯狂的，狂热的；躁狂的狂热的 50%，发狂的 40%，=maniac. 10%	"maniacal  /məˈnaɪəkl/       adj.疯狂的，狂热的；躁狂的狂热的 50%，发狂的 40%，=maniac. 10%                 来自 maniac, 发狂的人.      adjectiveuk/məˈnaɪ.ə.kəl/ us/məˈnaɪ.ə.kəl/   A maniacal cry or laugh is loud and wild.（哭或笑）狂野的，肆无忌惮的 He suddenly exploded into maniacal laughter.他突然发出一阵狂笑。       This one's easy. If someone is maniacal then they're behaving like a maniac. Add an -ly to make it an adverb, and you get maniacally, as in ""she's acting maniacally.""The noun maniac is almost always used to describe people who do nutty things—serial killers, insane people on the street, crowds at soccer matches. But the adjective maniacal can be more loosely applied to situations, settings, animals, etc. You can use maniacal to describe almost anything that seems wildly crazy or dangerously out of kilter. I don't even remember what the Beatles played that first time on TV. It's the maniacal screaming from the fans that sticks in my head. No movie villain was ever as maniacal as Jason, in Friday the 13th.maniacal: maniacally/mania: maniac, manias/maniac: maniacal, maniacs/manic: mania, manically, maniclike    maniacal"
bleat   /bliːt/          n.咩咩叫声vt.咩咩地叫；愚蠢地讲vi.咩咩叫；胡扯；抱怨时态:bleated, bleating, bleats哀鸣 46%，发出羊叫声 18%，哭诉 18%，羊的鸣声 18%词性：动词 68%, 名词 32%	bleat  /bliːt/       n.咩咩叫声vt.咩咩地叫；愚蠢地讲vi.咩咩叫；胡扯；抱怨时态:bleated, bleating, bleats哀鸣 46%，发出羊叫声 18%，哭诉 18%，羊的鸣声 18%词性：动词 68%, 名词 32%           Lambs bleat when they're hungry or they can't find their mother.当小羊羔们饿了或者找不到妈妈的时候会咩咩叫。      拟声词.      verb [ I ]uk/bliːt/ us/bliːt/   When a sheep or goat bleats, it makes the typical sound of these animals.（羊）咩咩叫 informal to complain in an annoying way喋喋不休地抱怨 She's always bleating (on) about how badly she's been treated.她总是喋喋不休地抱怨别人对她多么不好。       The sound a lamb or calf makes is a bleat. If you hear tiny bleats coming from your barn, you'll know the new baby goats were born at last.Many animals might bleat, though a bleat is a slightly weak, high-pitched sound, which is why it's typically made by young animals. When baby animals bleat, their mothers naturally go to them to feed or comfort them. You might also describe a human's cry or whine as a bleat, if it's particularly pitiful. The word comes from a Germanic root, and it's imitative of the sound itself.bleat: bleated, bleating, bleats   bleat
whipping   /ˈwɪpɪŋ/          n.鞭打；笞刑；用来缚扎的绳索v.鞭打（whip的ing形式）原型:whipping 是 whip 的现在分词鞭打 58%，笞刑 28%，缠绕的绑法 7%，动词whip的现在分词形式. 7%词性：形容词 58%, 名词 42%	whipping  /ˈwɪpɪŋ/       n.鞭打；笞刑；用来缚扎的绳索v.鞭打（whip的ing形式）原型:whipping 是 whip 的现在分词鞭打 58%，笞刑 28%，缠绕的绑法 7%，动词whip的现在分词形式. 7%词性：形容词 58%, 名词 42%                       noun [ C usually singular ]uk/ˈwɪp.ɪŋ/ us/ˈwɪp.ɪŋ/   the punishment of being hit by a whip（作为惩罚的）鞭打，鞭笞          whipping
shelving   /ˈʃelvɪŋ/          n.倾斜，架子；搁置v.搁置（shelve的现在分词）原型:shelving 是 shelve 的现在分词一组搁板 60%，倾斜面 20%，动词shelve的现在分词. 20%	shelving  /ˈʃelvɪŋ/       n.倾斜，架子；搁置v.搁置（shelve的现在分词）原型:shelving 是 shelve 的现在分词一组搁板 60%，倾斜面 20%，动词shelve的现在分词. 20%                       noun [ U ]uk/ˈʃel.vɪŋ/ us/ˈʃel.vɪŋ/   shelves架子，搁板 The carpenter put up some shelving in the living room.木匠在客厅里装了一些架子。          shelving
jam-packed   /ˌdʒæm ˈpækt/          adj.塞紧的；拥挤不堪的塞紧的 50%，拥挤不堪的 50%	"jam-packed  /ˌdʒæm ˈpækt/       adj.塞紧的；拥挤不堪的塞紧的 50%，拥挤不堪的 50%                       adjectiveuk/ˌdʒæmˈpækt/ us/ˌdʒæmˈpækt/   full of people or things that are pushed closely together挤得满满的，塞得紧紧的 The streets were jam-packed with tourists.街道被游客挤得水泄不通。       Anything that's jam-packed is as crowded or full as it can be. If you hate crowds, you'll want to avoid the jam-packed shopping malls around Christmas time.A subway car in Tokyo at rush hour is jam-packed, while a bus in a small village in Germany may have only a few passengers. And a dull day in traffic court will be sparsely attended, but during a dramatic celebrity trial the courthouse is bound to be jam-packed. This adjective is informal, dating from about the turn of the twentieth century. Earlier it was jam-full — both come from the ""squeeze into a space"" sense of jam.jam-packed    jam-packed"
heritability   /ˌherɪtəˈbɪlɪti/          n.遗传可能性遗传可能性 82%，可继承 18%	"heritability  /ˌherɪtəˈbɪlɪti/       n.遗传可能性遗传可能性 82%，可继承 18%                 可遗传性,遗传性[her,hes=stick,表示""粘附""]               heritability"
